total tokens, 2549
%types in test not in train, 1.0
%token frequency in test not in train, 14.6428571428571

tr_word_tri_grams_intercept, frequency
"feat . Philadelphia",1
"errors . The",1
"the Bears management",1
"line double ,",1
"Liston '' .",1
", his second",1
", were remarkable",1
"he told a",1
". Arkansas combined",1
"a baseball mystery",1
"Milwaukee 's park",1
"books , however",1
"Klein of the",1
"at third base",1
"record crowd for",1
"the Tribe 's",1
"nation to Reno",1
"of the television",1
"who had been",1
", which are",1
"whip TCU ,",1
", Jan. 23",1
"double-crosser and said",1
"1950 . Completing",1
"the ball over",1
"out of action",1
"walked only Charley",1
"clicked off in",1
"the organ .",1
"privileged to see",1
"off Phil Shartzer",1
"Series victory in",1
"a decade in",1
"by Rudolph for",1
". A &",1
"Jay Cooke walked",1
"Reno , Nev.",1
"doubled down the",1
"third and two",1
"know who have",1
"Wally Post slashed",1
"only ones of",1
"Smith 's 340-blast",1
"retaliating with a",1
"batted in of",1
"Post slashed a",1
"32,589 had only",1
"the most ever",1
"be blacked out",1
"the game was",1
"Jackie had gone",1
"dancer , Patti",1
"30-30 . Willie",1
"the Longhorns a",1
"The infield was",1
"inning when Reno",1
"or National fan",1
"Bill Liston ,",1
"a 3-game total",1
"and Yogi Berra",1
"to be blacked",1
"in 1:48 ,",1
"their eight hits",1
"and Texas A",1
"total loop play",1
", a ball",1
"Yogi Berra both",1
". He took",1
"fly hits --",1
"fly . Jim",1
"Texas ' 189",1
"the loss ,",1
", who played",1
"World Series victory",1
"anything about the",1
"the expanded outfield",1
"Mary Dobbs Tuttle",1
"happy Spahn waved",1
". `` Spahnie",1
"little trouble in",1
"contract at a",1
"of the White",1
"the mound against",1
"dark . Mary",1
"Jack feels he",1
"news conference at",1
", the ``",1
", especially at",1
"'s big day",1
"a 3-hitter when",1
"some good stops",1
"stops and showed",1
"retain two members",1
"Bears Stadium last",1
"depending on whether",1
"Jackie was heading",1
"and 447 passing",1
"embossed the fact",1
"would retain two",1
"his first year",1
"the first to",1
"past the 2-score-year",1
"the campaign --",1
"`` Spahnie does",1
"left fence for",1
"hammered a long",1
"said to Ritchie",1
"anymore . I",1
"Roy Sievers and",1
"25 bases .",1
"'s hurting Boston",1
"it was over",1
"in a meaningless",1
"in per-game rushing",1
"thanks to only",1
"left . Jay",1
"27 innings ,",1
"Cleveland , made",1
"American Association pack",1
"in Ogden ,",1
"This was the",1
"and a World",1
"I am told",1
"slump . The",1
"various unofficial checks",1
"Mrs. Don Rudolph",1
"aboard . Al",1
", and a",1
"train out of",1
", awaited .",1
"by Bob Howsam",1
"know when my",1
"television viewers in",1
"yards ( 1,065",1
"Williams and Charlie",1
"at the end",1
"however , would",1
"loss . The",1
". Chuck Hinton",1
"the year .",1
"new arrangement made",1
"I was 40",1
"of course ,",1
"Charley Hinton in",1
"that baseball rightfully",1
"second game against",1
"moved past the",1
"said he would",1
"The modest and",1
"base on balls",1
"the elderly Spahn",1
"and Cooke singled",1
"game and an",1
"second homer in",1
"in the top",1
"of the ninth",1
". The last",1
"Cliff Cook and",1
"dropped a double",1
"start controlling the",1
", an unusual",1
"last season .",1
"two men on",1
"Rudolph when off",1
"Wyman Carey ,",1
"beat out a",1
". Skorich received",1
"only 6-3 ,",1
"had been anemic",1
"the trade .",1
"an on-the-scene audience",1
"more in the",1
"Sox had taken",1
"Delahanty and Chuck",1
"corner , Cliff",1
"rulers . The",1
"Alusik 's double",1
"at the organ",1
"Eagles , was",1
"You would be",1
"the Phillies ,",1
") and a",1
", another all-out",1
", before a",1
". Gaines hammered",1
"The conductor said",1
"Edwards fouled out",1
"trailing only 6-3",1
"Ed Delahanty and",1
"I know when",1
"took a midnight",1
"Monday . Lemon",1
"Shartzer 's glove",1
"they were helpless",1
"two runs in",1
"use , the",1
"Tex. , May",1
"Skorich , the",1
"23 -- Nick",1
"with him .",1
"husky 6-3 ,",1
"out of Cleveland",1
"15 passes for",1
"no victories ,",1
"then moved Cooke",1
"189 ) .",1
"command all the",1
"tongues to wagging",1
". Jensen got",1
", Allison 's",1
"roller accounted for",1
"high chopper to",1
"much too dark",1
". Jim Landis",1
"when John Edwards",1
"loss , his",1
"'s mad at",1
"and further embossed",1
"or pro-Yankee .",1
"over the clubhouse",1
"feats and further",1
"the most hearts",1
"the weekend what",1
"at a news",1
"most ever used",1
"am told ,",1
"first to hit",1
"home runs in",1
"Tyler , Tex.",1
"passes , 34.7",1
"I 'm not",1
"strong arm at",1
"added their last",1
"good infield play",1
"-- tied the",1
": Cliff Cook",1
"days . But",1
"a year .",1
"given only the",1
"Monday night .",1
"Suddenly my reflexes",1
"of those good",1
"stopped in Ogden",1
"they did in",1
"player , as",1
"and $ 25,000",1
"one of the",1
"run over left",1
"Lenny Green 's",1
"'s . The",1
"Dobbs Tuttle was",1
"explosion in the",1
"four at home",1
"Red Sox Outfielder",1
"year as a",1
"playing at home",1
", depending on",1
"45-degree weather the",1
"with a record-tying",1
"the score in",1
"modest and happy",1
"of eight Cincinnati",1
"he said Liston",1
"record ( 187.5",1
"a midnight train",1
"throw . Suddenly",1
"the station .",1
"three bases on",1
"came back in",1
"seems baseball might",1
"Shaw , who",1
"series in a",1
", remarked Enos",1
"State gave the",1
". Of the",1
"Buck Shaw ,",1
"15-hit attack against",1
"Sox and Rocky",1
"and will miss",1
"with 40-year-old Warren",1
"will miss his",1
"start millions of",1
"three-year contract at",1
"how many fans",1
"Bob Howsam that",1
"day revived the",1
"Railroad streamliner ,",1
"of 1,512 yards",1
"in progress at",1
", Vernon Gomez",1
"of the first",1
"received a three-year",1
"the American League",1
"the trick in",1
"Spahn 's hitless",1
"the head .",1
"he 's hurting",1
"more Sunday afternoons",1
"the statistics last",1
"Francisco , stopped",1
"two more in",1
"outfield flies by",1
"11 points beyond",1
"Oct. 14 ,",1
"home McAuliffe .",1
"rule providing for",1
"taken a 5-4",1
". Ogden ,",1
"their last run",1
"said , when",1
"Yanks also took",1
"Ann Olsen ,",1
"-- his fourth",1
"midnight train out",1
"through playing baseball",1
". The crowd",1
"in the big",1
"has stayed away",1
"new record crowd",1
"exotic dancer ,",1
"statistics last week",1
"3-game total offense",1
"after a while",1
"a gentlemanly fine",1
"Liston ) got",1
"refocusing of the",1
"of 361 yards",1
"its biggest total",1
"was elevated today",1
"rule but NBC",1
"'s top rulers",1
"never lagged .",1
"to him at",1
"run deep into",1
"minor league game",1
"Tribe 's eight",1
"all-time great lefthanders",1
"triumph made Ralph",1
"Momentarily the Reds",1
"an American or",1
"game . Not",1
"'s 126 )",1
"Dick McAuliffe cracked",1
"Kenny Lane of",1
". Just when",1
"comes from the",1
". You 'll",1
", without an",1
"infield single by",1
"six and walked",1
"in the game",1
"ace . In",1
"and popped one",1
"( 187.5 yards",1
", drove in",1
", Jay Cooke",1
". A double",1
"is a defensive",1
"a matter of",1
"out in the",1
". Texas '",1
"Jim Landis '",1
". The Yanks",1
"a major or",1
"matter of opinion",1
"have to think",1
"Jensen said Monday",1
"the rightfield line",1
"pro-Yankee . The",1
"drove in Jim",1
"NBC will play",1
"Lou Gehrig of",1
"his fourth single",1
"Lemon was on",1
"the Giants and",1
"out with men",1
"18,792 . ``",1
"another Denver rookie",1
"put that play",1
"Olsen , awaited",1
"Landis ' 380-foot",1
"He said he",1
"ninth . Despite",1
"putout . The",1
"against Texas Tech",1
"Cooke walked and",1
"as saying :",1
"turned the trick",1
"the book ''",1
"was a double-crosser",1
"loop play since",1
"fine fellow ,",1
"streak to four",1
"Ed Donnelly is",1
"174 yards ,",1
"the drive fizzled",1
"were cut off",1
"the Sox back",1
"with the walking",1
"homer of the",1
"Southwest Conference football",1
"'s hitless pitching",1
"the game and",1
"The Yankee triumph",1
". This dissatisfaction",1
"she learned Jackie",1
"ball right away",1
"it two straight",1
"Adcock , Lou",1
"it '' ,",1
"was a real",1
"361 yards .",1
"the 45-degree weather",1
"Lopez , subbing",1
"Reds in a",1
"not be terminated",1
"into the station",1
"world 's seventh",1
"Mantle and Yogi",1
"deep into the",1
"couple of years",1
"355 yards ,",1
"balls and some",1
"on balls to",1
"what Liston had",1
"to merely go",1
"last couple of",1
"a distressing slump",1
"anemic with the",1
". He has",1
"big dent in",1
"Art Nehf ,",1
"works with the",1
"third man to",1
"writer for the",1
"Twins back in",1
"Completing 12 of",1
"football champion Philadelphia",1
"did it before",1
"were remarkable feats",1
". The White",1
"further embossed the",1
"Philadelphia Eagles ,",1
"both out of",1
"harm than good",1
"on 5 completions",1
"Cliff Cook accounted",1
"He succeeds Buck",1
"In the fifth",1
"'s replacement ,",1
"runs and stole",1
"to a lot",1
"was Nischwitz '",1
"per-game rushing averages",1
"years the Bears",1
"and Chuck Klein",1
"that day and",1
"but a gentlemanly",1
"got only six",1
"I do n't",1
"score was 11-5",1
"Ebbetts Field .",1
"only the one",1
"period of 18,792",1
"lefthander , was",1
"it seems baseball",1
"Bingles and bobbles",1
"in the Denver",1
"off Bud Daley",1
"the third Frank",1
"terminated before the",1
"Mickey Mantle .",1
"Ray Moore won",1
"sixth . Chuck",1
"Reno Bertoia beat",1
"is Bill Liston",1
"innings . Incidentally",1
"masterpiece against the",1
"before an on-the-scene",1
"the score and",1
"were back in",1
"league level .",1
"was working on",1
"40 , and",1
"Muskegon , Mich.",1
"ca n't hit",1
"was much too",1
"believed to be",1
", crushing the",1
"won his second",1
"Hubbell , Herb",1
"eight Cincinnati pitchers",1
"of the Phillies",1
"before a new",1
"White Sox and",1
"Indianapolis run in",1
"the stage .",1
"Sunday 's opener",1
"football leaders --",1
"Cincinnati errors .",1
"And so it",1
"knocked down by",1
"been anemic with",1
"four of his",1
"six other sluggers",1
